,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1871-02-28,0.0,0.0,0.0,0.0,0.0
1871-03-31,0.410237507856955,0.5897258667238534,0.0,0.0,0.0
1871-04-30,0.4102142730998008,0.5896663057212164,0.0,0.0,0.0
1871-05-31,0.41022126930497843,0.5896631037395937,0.0,0.0,0.0
1871-06-30,0.4101609334853167,0.5896738220348704,0.0,0.0,0.0
1871-07-31,0.41019114309918164,0.5897343515089699,0.0,0.0,0.0
1871-08-31,0.4101653439715763,0.5897490690496948,0.0,0.0,0.0
1871-09-30,0.41023697351703764,0.5897433717566124,0.0,0.0,0.0
1871-10-31,0.41020662569453004,0.5897407473934569,0.0,0.0,0.0
1871-11-30,0.41020984934984384,0.5897284563684294,0.0,0.0,0.0
1871-12-31,0.4101534071165294,0.58972594309384,0.0,0.0,0.0
1872-01-31,0.4102372119980224,0.5897297236081928,0.0,0.0,0.0
1872-02-29,0.41018339432475354,0.5897343398318085,0.0,0.0,0.0
1872-03-31,0.4102289143648304,0.5896862051139843,0.0,0.0,0.0
1872-04-30,0.40081432159230773,0.5991092494252678,0.0,0.0,0.0
1872-05-31,0.4007979877246302,0.5990360727198585,0.0,0.0,0.0
1872-06-30,0.40080620456831095,0.5991007418296822,0.0,0.0,0.0
1872-07-31,0.4008631724405337,0.5990953805228436,0.0,0.0,0.0
1872-08-31,0.4102040071496138,0.5897154863991817,0.0,0.0,0.0
1872-09-30,0.41014326690620306,0.5897054138450959,0.0,0.0,0.0
1872-10-31,0.41017453558803374,0.5896674704229479,0.0,0.0,0.0
1872-11-30,0.4101607023234191,0.5897049855590507,0.0,0.0,0.0
1872-12-31,0.40079992804854553,0.5990508059229702,0.0,0.0,0.0
1873-01-31,0.4101773653047957,0.5896564246414734,0.0,0.0,0.0
1873-02-28,0.4101667715562845,0.5897323138647391,0.0,0.0,0.0
1873-03-31,0.4101532265867445,0.5897120683856529,0.0,0.0,0.0
1873-04-30,0.41024337986880227,0.589692976840144,0.0,0.0,0.0
1873-05-31,0.4102287708782292,0.5897250461932902,0.0,0.0,0.0
1873-06-30,0.41022249247167736,0.5896692202053122,0.0,0.0,0.0
1873-07-31,0.41022622457656277,0.5896678326952461,0.0,0.0,0.0
1873-08-31,0.41015558452161127,0.5896568197341114,0.0,0.0,0.0
1873-09-30,0.4195431502226502,0.5803700761418329,0.0,0.0,0.0
1873-10-31,0.42900126027116986,0.5709839223643264,0.0,0.0,0.0
1873-11-30,0.4289098696625593,0.570981128854537,0.0,0.0,0.0
1873-12-31,0.4196219411507367,0.5802910469078225,0.0,0.0,0.0
1874-01-31,0.41958572085493534,0.5803567252544604,0.0,0.0,0.0
1874-02-28,0.41014983768485874,0.5897001990964689,0.0,0.0,0.0
1874-03-31,0.4102163708729902,0.5896762827378361,0.0,0.0,0.0
1874-04-30,0.4196151609197503,0.5803538658146383,0.0,0.0,0.0
1874-05-31,0.4195972590977839,0.5803602040107138,0.0,0.0,0.0
