,arithmetic_mu,sigma,naive_md,adjusted_md
1871-03-31,0.06772742714477395,0.08100044641096169,-0.18795112273657766,-0.2718951467458283
1871-04-30,0.0665832015757853,0.08100044629075859,-0.18951130318431722,-0.2739895262166517
1871-05-31,0.06528454536859096,0.07865090223770399,-0.18351020159459264,-0.2659190157225102
1871-06-30,0.0652679868477755,0.07865090195359198,-0.18353277864026069,-0.2659494524329259
1871-07-31,0.06696367722647442,0.08100044620778338,-0.18899251461264976,-0.2732934038308202
1871-08-31,0.06538278552613147,0.07865090234188636,-0.18337624896267232,-0.26573841911615115
1871-09-30,0.06516947479175784,0.07865090225685363,-0.1836671033340434,-0.2661305275018523
1871-10-31,0.06787398231665694,0.08100044639916198,-0.1877512909678077,-0.27162670000705885
1871-11-30,0.06730632124478508,0.08100044658241894,-0.18852531199368025,-0.2726662472959314
1871-12-31,0.06647628104102973,0.08100044630394661,-0.18965709211541973,-0.27418509585457834
1872-01-31,0.06348887217301948,0.07865090213596665,-0.1858279453745415,-0.2690407014253714
1872-02-29,0.06367940986918208,0.07865090223322106,-0.18559426888386218,-0.26872623881659197
1872-03-31,0.06236429838795911,0.07865090225613652,-0.18745050851759396,-0.27122255697334313
1872-04-30,0.06089662451635444,0.07865090223640576,-0.18974067112485887,-0.2742972029901297
1872-05-31,0.060867549626325096,0.07865090221254202,-0.18978603958870127,-0.2743580539099667
1872-06-30,0.0609966708104869,0.07865090205338447,-0.18958455796848492,-0.2740877973100934
1872-07-31,0.06116374779453379,0.07865090221017274,-0.18932385107806013,-0.2737380328481281
1872-08-31,0.06202121479187356,0.07865090233706389,-0.1879858574560857,-0.27194180362500797
1872-09-30,0.06261105736763364,0.07865090217856638,-0.1870654648084287,-0.27070505198486805
1872-10-31,0.062454551897921984,0.07865090222868373,-0.1873096765790069,-0.271033295480388
1872-11-30,0.06290762112449212,0.0786509020108487,-0.18660270527071884,-0.2700828798817213
1872-12-31,0.061758691791264,0.07865090218848171,-0.1883954986224854,-0.27249194771918417
